 time            1           2
   0.00000000E+00  0.16734090E-01 -0.16737854E-01 
   0.33699973E+01 -0.74346401E-01  0.64400971E-01 
   0.33799973E+01 -0.71677394E-01  0.62240176E-01 
   0.33899972E+01 -0.69012657E-01  0.60068924E-01 
   0.33999972E+01 -0.66353433E-01  0.57888325E-01 
   0.34099972E+01 -0.63700952E-01  0.55699494E-01 
   0.34199972E+01 -0.61056428E-01  0.53503558E-01 
   0.34299972E+01 -0.58421046E-01  0.51301658E-01 
   0.34399972E+01 -0.55795979E-01  0.49094941E-01 
   0.34499972E+01 -0.53182390E-01  0.46884578E-01 
   0.34599972E+01 -0.50581418E-01  0.44671733E-01 
   0.34699972E+01 -0.47994193E-01  0.42457592E-01 
   0.34799972E+01 -0.45421813E-01  0.40243350E-01 
   0.34899971E+01 -0.42865373E-01  0.38030196E-01 
   0.34999971E+01 -0.40325943E-01  0.35819340E-01 
   0.35099971E+01 -0.37804563E-01  0.33611979E-01 
   0.35199971E+01 -0.35302266E-01  0.31409319E-01 
   0.35299971E+01 -0.32820046E-01  0.29212564E-01 
   0.35399971E+01 -0.30358884E-01  0.27022906E-01 
   0.35499971E+01 -0.27919725E-01  0.24841532E-01 
   0.35599971E+01 -0.25503488E-01  0.22669623E-01 
   0.35699971E+01 -0.23111060E-01  0.20508340E-01 
   0.35799971E+01 -0.20743299E-01  0.18358832E-01 
   0.35899971E+01 -0.18401029E-01  0.16222231E-01 
   0.35999970E+01 -0.16085036E-01  0.14099646E-01 
   0.36099970E+01 -0.13796077E-01  0.11992166E-01 
   0.36199970E+01 -0.11534872E-01  0.99008558E-02 
   0.36299970E+01 -0.93021048E-02  0.78267567E-02 
   0.36399970E+01 -0.70984261E-02  0.57708835E-02 
   0.36499970E+01 -0.49244533E-02  0.37342273E-02 
   0.36599970E+01 -0.27807700E-02  0.17177523E-02 
   0.36699970E+01 -0.66792965E-03 -0.27760188E-03 
   0.36799970E+01  0.14135438E-02 -0.22509205E-02 
   0.36899970E+01  0.34631537E-02 -0.42013121E-02 
   0.36999969E+01  0.54804278E-02 -0.61279074E-02 
   0.37099969E+01  0.74649169E-02 -0.80298567E-02 
   0.37199969E+01  0.94161890E-02 -0.99063311E-02 
   0.37299969E+01  0.11333832E-01 -0.11756516E-01 
   0.37399969E+01  0.13217443E-01 -0.13579612E-01 
   0.37499969E+01  0.15066632E-01 -0.15374833E-01 
   0.37599969E+01  0.16881017E-01 -0.17141404E-01 
   0.37699969E+01  0.18660219E-01 -0.18878555E-01 
   0.37799969E+01  0.20403866E-01 -0.20585528E-01 
   0.37899969E+01  0.22111576E-01 -0.22261566E-01 
   0.37999969E+01  0.23782974E-01 -0.23905918E-01 
   0.38099968E+01  0.25417676E-01 -0.25517838E-01 
   0.38199968E+01  0.27015297E-01 -0.27096577E-01 
   0.38299968E+01  0.28575441E-01 -0.28641393E-01 
   0.38399968E+01  0.30097708E-01 -0.30151548E-01 
   0.38499968E+01  0.31581689E-01 -0.31626303E-01 
   0.38599968E+01  0.33026975E-01 -0.33064924E-01 
   0.38699968E+01  0.34433138E-01 -0.34466688E-01 
   0.38799968E+01  0.35799760E-01 -0.35830878E-01 
   0.38899968E+01  0.37126411E-01 -0.37156779E-01 
   0.38999968E+01  0.38412664E-01 -0.38443699E-01 
   0.39099967E+01  0.39658085E-01 -0.39690960E-01 
   0.39199967E+01  0.40862251E-01 -0.40897895E-01 
   0.39299967E+01  0.42024739E-01 -0.42063862E-01 
   0.39399967E+01  0.43145142E-01 -0.43188244E-01 
   0.39499967E+01  0.44223901E-01 -0.44270709E-01 
   0.39599967E+01  0.45261845E-01 -0.45311429E-01 
   0.39699967E+01  0.46257455E-01 -0.46309363E-01 
   0.39799967E+01  0.47209669E-01 -0.47263511E-01 
   0.39899967E+01  0.48117809E-01 -0.48173215E-01 
   0.39999967E+01  0.48981406E-01 -0.49038041E-01 
   0.40099969E+01  0.49800053E-01 -0.49857631E-01 
   0.40199971E+01  0.50573390E-01 -0.50631642E-01 
   0.40299973E+01  0.51301062E-01 -0.51359762E-01 
   0.40399976E+01  0.51982749E-01 -0.52041691E-01 
   0.40499978E+01  0.52618157E-01 -0.52677162E-01 
   0.40599980E+01  0.53207025E-01 -0.53265944E-01 
   0.40699983E+01  0.53749133E-01 -0.53807825E-01 
   0.40799985E+01  0.54244276E-01 -0.54302625E-01 
   0.40899987E+01  0.54692283E-01 -0.54750193E-01 
   0.40999990E+01  0.55093005E-01 -0.55150390E-01 
   0.41099992E+01  0.55446308E-01 -0.55503104E-01 
   0.41199994E+01  0.55752080E-01 -0.55808228E-01 
   0.41299996E+01  0.56010224E-01 -0.56065686E-01 
   0.41399999E+01  0.56220662E-01 -0.56275394E-01 
   0.41500001E+01  0.56383319E-01 -0.56437295E-01 
   0.41600003E+01  0.56498144E-01 -0.56551337E-01 
   0.41700006E+01  0.56565084E-01 -0.56617472E-01 
   0.41800008E+01  0.56586210E-01 -0.56637663E-01 
   0.41900010E+01  0.56597017E-01 -0.56647133E-01 
   0.42000012E+01  0.56610182E-01 -0.56659125E-01 
   0.42100015E+01  0.56624558E-01 -0.56672547E-01 
   0.42200017E+01  0.56639295E-01 -0.56686409E-01 
   0.42300019E+01  0.56653973E-01 -0.56700226E-01 
   0.42400022E+01  0.56668475E-01 -0.56713864E-01 
   0.42500024E+01  0.56682788E-01 -0.56727309E-01 
   0.42600026E+01  0.56696892E-01 -0.56740556E-01 
   0.42700028E+01  0.56710750E-01 -0.56753568E-01 
   0.42800031E+01  0.56724314E-01 -0.56766309E-01 
   0.42900033E+01  0.56737550E-01 -0.56778729E-01 
   0.43000035E+01  0.56750424E-01 -0.56790803E-01 
   0.43100038E+01  0.56762915E-01 -0.56802507E-01 
   0.43200040E+01  0.56775019E-01 -0.56813836E-01 
   0.43300042E+01  0.56786738E-01 -0.56824788E-01 
   0.43400044E+01  0.56798078E-01 -0.56835379E-01 
   0.43500047E+01  0.56809068E-01 -0.56845631E-01 
   0.43600049E+01  0.56819737E-01 -0.56855571E-01 
   0.43700051E+01  0.56830123E-01 -0.56865241E-01 
   0.43800054E+01  0.56840271E-01 -0.56874685E-01 
   0.43900056E+01  0.56850232E-01 -0.56883957E-01 
   0.44000058E+01  0.56860059E-01 -0.56893107E-01 
   0.44100060E+01  0.56869816E-01 -0.56902189E-01 
   0.44200063E+01  0.56879546E-01 -0.56911264E-01 
   0.44300065E+01  0.56889314E-01 -0.56920383E-01 
   0.44400067E+01  0.56899164E-01 -0.56929599E-01 
   0.44500070E+01  0.56909144E-01 -0.56938954E-01 
   0.44600072E+01  0.56919288E-01 -0.56948487E-01 
   0.44700074E+01  0.56929633E-01 -0.56958225E-01 
   0.44800076E+01  0.56940198E-01 -0.56968197E-01 
   0.44900079E+01  0.56950990E-01 -0.56978408E-01 
   0.45000081E+01  0.56962017E-01 -0.56988858E-01 
   0.45100083E+01  0.56973264E-01 -0.56999546E-01 
   0.45200086E+01  0.56984719E-01 -0.57010446E-01 
   0.45300088E+01  0.56996349E-01 -0.57021532E-01 
   0.45400090E+01  0.57008117E-01 -0.57032764E-01 
